0003006|10.0.7.141
0003024|10.0.7.141
2220740|192.168.100.3
0107908|192.168.100.3
0003034|10.0.7.141
5737887|192.168.100.3
5969279|192.168.100.3
3497649|192.168.100.3
9606690|192.168.100.3
9442390|192.168.100.3
1455876|192.168.100.3
1280880|192.168.100.3
6761313|192.168.100.3
9418101|192.168.100.3
0686723|192.168.100.2
1609925|192.168.100.2
5103397|192.168.100.2
4672973|192.168.100.2
2740668|192.168.100.2
5427608|192.168.100.2
9952041|192.168.100.2
6334745|192.168.100.2
4404194|192.168.100.2
6075249|192.168.100.2
5157118|192.168.100.2
0499187|192.168.100.2
5978927|192.168.100.2
2903416|192.168.100.2
5129077|192.168.100.2
9475213|192.168.100.2
9721439|192.168.100.2
1004337|192.168.100.2
7769254|192.168.100.2
1148084|192.168.100.2
7209143|192.168.100.2
1618237|192.168.100.2
1994906|192.168.100.2
9587578|192.168.100.2
1440111|192.168.100.2
1512295|192.168.100.2
0761206|192.168.100.2
3323752|192.168.100.2
0577567|192.168.100.2
3679471|192.168.100.2
